,coders,issues,relevance
0,Jane,0,5.000000000010514
1,Jane,1,5.000006361435531
2,Jane,2,5.0000000000663265
3,Jane,3,16.478106683925603
4,Jane,4,57.31328832254749
5,Jane,5,5.0000000049623194
6,Jane,6,5.000000004669024
7,Jane,7,5.002033737924351
8,Jane,8,5.000000043756774
9,Jane,9,5.002939915937289
10,Jane,10,5.00000092002712
11,Jane,11,5.00000000029242
12,Jane,12,5.000000263000757
13,Jane,13,5.000000151991553
14,Jane,14,5.00130923242832
15,Jane,15,5.000261945509129
16,Jane,16,5.001695881482285
17,Jane,17,105.0
18,Jane,18,5.000000000000008
19,Jane,19,5.000966688083471
20,Jane,20,5.373742004569537
21,Jane,21,5.000000544256248
22,Jane,22,5.0000006677753195
23,Jane,23,5.0
24,Jane,24,5.011553280232531
25,Jane,25,5.000000000000442
26,Jane,26,38.97693888219658
27,Jane,27,5.000000018326749
28,Jane,28,5.000432308789749
29,Jane,29,5.000000000000031
30,Jane,30,5.0000000086257606
31,Jane,31,5.0
32,Jane,32,5.000013358661844
33,Jane,33,5.000203965021267
34,Jane,34,5.000007425925979
35,Jane,35,104.60541487694037
36,Jane,36,5.000000009070623
37,Jane,37,7.820260796462673
38,Jane,38,5.0000003618616065
39,Jane,39,5.0000000039833505
40,Jane,40,5.0000002864493025
41,Jane,41,8.86835055249843
42,Jane,42,5.0000000000000115
43,Jane,43,5.000000123823093
44,John,0,104.99999999998863
45,John,1,104.99999363843719
46,John,2,104.99999999993463
47,John,3,92.40231038742886
48,John,4,52.62913027154475
49,John,5,70.49827484644129
50,John,6,5.000075901226227
51,John,7,15.436096650617015
52,John,8,104.99998242162901
53,John,9,104.9828914235763
54,John,10,5.000845729941867
55,John,11,10.123513632258865
56,John,12,5.0614439303793
57,John,13,104.89167921201178
58,John,14,104.99869076756762
59,John,15,5.023581423186675
60,John,16,104.99805076443032
61,John,17,5.0
62,John,18,103.69682629935585
63,John,19,104.99903326670429
64,John,20,104.62607310549028
65,John,21,5.037475154338714
66,John,22,5.470483988787548
67,John,23,5.0000000000055875
68,John,24,52.47924233756584
69,John,25,5.000000074679331
70,John,26,64.99083723493675
71,John,27,5.000803971335026
72,John,28,6.616964741834424
73,John,29,104.99999969492137
74,John,30,104.99999789501717
75,John,31,105.0
76,John,32,6.925026710104374
77,John,33,104.94250410237186
78,John,34,104.9999915286029
79,John,35,5.210085431652049
80,John,36,104.98537718044773
81,John,37,101.86128939332802
82,John,38,5.000401130695244
83,John,39,104.1253248847858
84,John,40,5.021492709474233
85,John,41,92.22334336087364
86,John,42,104.99993379564589
87,John,43,95.40892077806572
88,Jhonny,0,5.000000000000025
89,Jhonny,1,5.000000000129122
90,Jhonny,2,5.000000000000384
91,Jhonny,3,6.118142886522618
92,Jhonny,4,5.057577974403471
93,Jhonny,5,5.000010672628476
94,Jhonny,6,104.99325925948663
95,Jhonny,7,92.89340643296335
96,Jhonny,8,5.000003268802635
97,Jhonny,9,5.014168638473845
98,Jhonny,10,5.000000000003238
99,Jhonny,11,99.70640852108923
100,Jhonny,12,5.000000000086446
101,Jhonny,13,5.0882430275488355
102,Jhonny,14,5.000000000003478
103,Jhonny,15,5.005676557975301
104,Jhonny,16,5.000234244087251
105,Jhonny,17,5.0
106,Jhonny,18,5.000000001146523
107,Jhonny,19,5.0000000452121345
108,Jhonny,20,5.000001378934584
109,Jhonny,21,5.000657275193913
110,Jhonny,22,104.52755630109058
111,Jhonny,23,5.000000000000034
112,Jhonny,24,57.07285891597332
113,Jhonny,25,5.000182770566727
114,Jhonny,26,6.228174396006835
115,Jhonny,27,5.000228185865896
116,Jhonny,28,103.3432779478108
117,Jhonny,29,5.000000305081258
118,Jhonny,30,5.000002096353361
119,Jhonny,31,5.0
120,Jhonny,32,103.07495990112511
121,Jhonny,33,5.043284348423322
122,Jhonny,34,5.0000010454743675
123,Jhonny,35,5.059611628277323
124,Jhonny,36,5.013022345293385
125,Jhonny,37,5.316233857241089
126,Jhonny,38,104.9995985045319
127,Jhonny,39,5.8746744261503
128,Jhonny,40,104.97750339211096
129,Jhonny,41,5.124236965418205
130,Jhonny,42,5.000066197477444
131,Jhonny,43,14.589524254831518
132,Richard,0,5.0
133,Richard,1,5.000000000000641
134,Richard,2,5.0
135,Richard,3,5.001440042122207
136,Richard,4,5.000003431505185
137,Richard,5,39.50171447597019
138,Richard,6,5.006664834618502
139,Richard,7,6.668463178495461
140,Richard,8,5.000014265810618
141,Richard,9,5.0000000220137295
142,Richard,10,104.99915335003222
143,Richard,11,5.170077846359159
144,Richard,12,104.93855580653504
145,Richard,13,5.020077608446942
146,Richard,14,5.000000000000174
147,Richard,15,104.970480073329
148,Richard,16,5.000019110002603
149,Richard,17,5.0
150,Richard,18,6.303173699497323
151,Richard,19,5.0
152,Richard,20,5.000183511007323
153,Richard,21,104.96186702621219
154,Richard,22,5.001959042347962
155,Richard,23,105.0
156,Richard,24,5.436345466228819
157,Richard,25,104.99981715475546
158,Richard,26,9.804049486860098
159,Richard,27,104.99896782447382
160,Richard,28,5.039325001565534
161,Richard,29,5.0
162,Richard,30,5.000000000003183
163,Richard,31,5.0
164,Richard,32,5.00000003010891
165,Richard,33,5.014007584183045
166,Richard,34,5.0
167,Richard,35,5.124888063134962
168,Richard,36,5.001600465189551
169,Richard,37,5.002215952968508
170,Richard,38,5.0000000029106
171,Richard,39,5.0000006850792875
172,Richard,40,5.001003611965497
173,Richard,41,13.784069121207803
174,Richard,42,5.000000006876381
175,Richard,43,5.0015548432803865
